match_id,league_code,home_team,away_team,disagreement_line_std,disagreement_water_std,disagreement_level,disagreement_outlier,bookmaker_line_mean,bookmaker_line_std
1af6f6c4664a,BUN,奥格斯堡,柏林赫塔,0.14433756729740646,0.14730919862656242,轻微分歧,Bet365异类(+0.25 vs 中位数+0.00),0.08333333333333333,0.14433756729740646
a3df27336d3d,LLG,毕尔巴鄂竞技,西班牙人,0.0,0.04163331998932265,一致,无异常,1.0,0.0
78a4a8c30d98,FL1,特鲁瓦,雷恩,0.0,0.050332229568471644,一致,无异常,-0.75,0.0
7395effb591a,EPL,曼彻斯特联,阿森纳,0.14433756729740646,0.15044378795195676,轻微分歧,Crown异类(+0.00 vs 中位数+0.25),0.16666666666666666,0.14433756729740646
0735f23eab4a,BUN,门兴格拉德巴赫,美因茨,0.14433756729740643,0.18770544300401448,轻微分歧,Bet365异类(+0.50 vs 中位数+0.25),0.3333333333333333,0.14433756729740643
5d0a52a740f5,ISA,维罗纳,桑普多利亚,0.14433756729740643,0.1446835627614047,轻微分歧,Bet365异类(+0.25 vs 中位数+0.50),0.4166666666666667,0.14433756729740643
06e93478798b,LLG,比利亚雷亚尔,埃尔切,0.0,0.04163331998932265,一致,无异常,1.25,0.0
52edb8fa95fe,ISA,乌迪内斯,罗马,0.14433756729740646,0.11015141094572208,轻微分歧,Bet365异类(-0.75 vs 中位数-0.50),-0.5833333333333334,0.14433756729740646
3ca3c5d3ad52,FL1,尼斯,摩纳哥,0.0,0.14153915830374764,一致,无异常,0.0,0.0
054b10c11914,LLG,瓦伦西亚,赫塔费,0.14433756729740643,0.11846237095944571,轻微分歧,Crown异类(+0.25 vs 中位数+0.50),0.4166666666666667,0.14433756729740643
19886614957e,ISA,萨勒尼塔纳,恩波利,0.14433756729740646,0.1850225211517056,轻微分歧,Bet365异类(+0.00 vs 中位数+0.25),0.16666666666666666,0.14433756729740646
08497a956e9b,ISA,蒙扎,亚特兰大,0.0,0.03785938897200186,一致,无异常,-1.25,0.0
87befcd6c7ff,ISA,都灵,莱切,0.0,0.020816659994661344,一致,无异常,0.75,0.0
