match_id,league_name,kickoff_time,home_team,away_team,market,asian_line,ou_line,water_hk,decimal_odds,bet_direction,goal_diff,total_goals,y_pred,y_true,result,bet_type,bet_detail,profit_original,profit_correct,profit_discrepancy
c967739776a3,德甲,2023-04-17 21:30:00,比勒费尔德,拜仁慕尼黑,asian,-2.25,,1.02,2.02,客赢盘,-3.0,3.0,0,0,win,FULL_WIN,"盘口-2.25, 净胜-3.0, eff=-5.25",102.0,102.0,0.0
94d46b3cd1eb,德甲,2023-04-02 21:30:00,弗赖堡,拜仁慕尼黑,asian,-1.25,,0.88,1.88,客赢盘,-3.0,5.0,0,0,win,FULL_WIN,"盘口-1.25, 净胜-3.0, eff=-4.25",88.0,87.99999999999999,-1.4210854715202004e-14
68d15dd5977e,英超,2023-12-03 22:00:00,AFC伯恩茅斯,阿斯顿维拉,over_under,,3.0,0.94,1.94,大球,0.0,4.0,1,1,win,FULL_WIN,"线3.0, 总球4.0",94.0,94.0,0.0
30aca200bd09,欧冠,2022-10-26 03:00:00,凯尔特人,顿涅茨克矿工,over_under,,2.5,0.89,1.89,大球,0.0,2.0,1,0,lose,FULL_LOSE,"线2.5, 总球2.0",-100.0,-100.0,0.0
aef4eb287233,意甲,2023-03-06 22:00:00,威尼斯,萨索洛,over_under,,2.75,0.95,1.95,大球,-3.0,5.0,1,1,win,FULL_WIN,"线2.75, 总球5.0",95.0,95.0,0.0
c3833efa8684,西甲,2024-11-23 04:00:00,赫塔费,巴利亚多利德,asian,0.75,,0.93,1.93,主赢盘,2.0,2.0,2,2,win,FULL_WIN,"盘口+0.75, 净胜2.0, eff=+2.75",93.0,93.0,0.0
70f3758229a0,英超,2023-05-01 00:30:00,利兹联,曼彻斯特城,asian,-1.75,,1.04,2.04,客赢盘,-4.0,4.0,0,0,win,FULL_WIN,"盘口-1.75, 净胜-4.0, eff=-5.75",104.0,104.0,0.0
3a87517edbce,西甲,2023-01-10 01:30:00,奥萨苏纳,加的斯,asian,0.75,,0.95,1.95,主赢盘,2.0,2.0,2,2,win,FULL_WIN,"盘口+0.75, 净胜2.0, eff=+2.75",95.0,95.0,0.0
2e7ff3b6ae85,法甲,2023-01-23 20:00:00,梅斯,尼斯,asian,-0.25,,0.68,1.68,客赢盘,-2.0,2.0,0,0,win,FULL_WIN,"盘口-0.25, 净胜-2.0, eff=-2.25",68.0,68.00000000000001,1.4210854715202004e-14
0abd7463ccc6,意甲,2022-10-29 21:00:00,那不勒斯,萨索洛,asian,1.5,,1.01,2.01,主赢盘,4.0,4.0,2,2,win,FULL_WIN,"盘口+1.50, 净胜4.0",101.0,100.99999999999997,-2.842170943040401e-14
